"Date","Close"
"Jul 03 2018",50.97
"Jul 05 2018",49.06
"Jul 06 2018",49.58
"Jul 09 2018",51.61
"Jul 10 2018",51.68
"Jul 11 2018",51.96
"Jul 12 2018",52.21
"Jul 13 2018",53.31
"Jul 16 2018",53.27
"Jul 17 2018",53.63
"Jul 18 2018",53.07
"Jul 19 2018",52.63
"Jul 20 2018",52.95
"Jul 23 2018",53.15
"Jul 24 2018",52.67
"Jul 25 2018",53.66
"Jul 26 2018",53.66
"Jul 27 2018",53.4
"Jul 30 2018",52.34
"Jul 31 2018",54.02
"Aug 01 2018",55
"Aug 02 2018",55.28
"Aug 03 2018",54.96
"Aug 06 2018",54.46
"Aug 07 2018",55.55
"Aug 08 2018",54.79
"Aug 09 2018",55.39
"Aug 10 2018",54.65
"Aug 13 2018",54.17
"Aug 14 2018",54.28
"Aug 15 2018",53.71
"Aug 16 2018",53.84
"Aug 17 2018",54.87
"Aug 20 2018",54.59
"Aug 21 2018",54.42
"Aug 22 2018",54.62
"Aug 23 2018",54.41
"Aug 24 2018",54.54
"Aug 27 2018",56.02
"Aug 28 2018",55.77
"Aug 29 2018",57.07
"Aug 30 2018",56.68
"Aug 31 2018",56.83
"Sep 04 2018",56.18
"Sep 05 2018",55.5
"Sep 06 2018",56.36
"Sep 07 2018",56.53
"Sep 10 2018",56.68
"Sep 11 2018",56.85
"Sep 12 2018",57.47
"Sep 13 2018",57.76
"Sep 14 2018",59.44
"Sep 17 2018",59.29
"Sep 18 2018",59.83
"Sep 19 2018",59
"Sep 20 2018",59.1
"Sep 21 2018",57
"Sep 24 2018",56.85
"Sep 25 2018",58.53
"Sep 26 2018",59.45
"Sep 27 2018",59.53
"Sep 28 2018",60.65
"Oct 01 2018",60.58
"Oct 02 2018",59.82
"Oct 03 2018",58.32
"Oct 04 2018",57.07
"Oct 05 2018",57.23
"Oct 08 2018",57.07
"Oct 09 2018",57.97
"Oct 10 2018",56.1
"Oct 11 2018",55.52
"Oct 12 2018",55.51
"Oct 15 2018",56.25
"Oct 16 2018",57.5
"Oct 17 2018",57.9
"Oct 18 2018",56.03
"Oct 19 2018",55.67
"Oct 22 2018",55.78
"Oct 23 2018",55.07
"Oct 24 2018",53.08
"Oct 25 2018",53.48
"Oct 26 2018",52.41
"Oct 29 2018",51
"Oct 30 2018",53.43
"Oct 31 2018",54.13
"Nov 01 2018",55.66
"Nov 02 2018",53.66
"Nov 05 2018",53.32
"Nov 06 2018",53.5
"Nov 07 2018",55.26
"Nov 08 2018",54.41
"Nov 09 2018",54.07
"Nov 12 2018",51.53
"Nov 13 2018",51.24
"Nov 14 2018",51.14
"Nov 15 2018",51.65
"Nov 16 2018",50.81
"Nov 19 2018",50.99
"Nov 20 2018",49.53
"Nov 21 2018",50.52
"Nov 23 2018",49.69
"Nov 26 2018",51.02
"Nov 27 2018",51.37
"Nov 28 2018",52.91
"Nov 29 2018",51.88
"Nov 30 2018",52.82
"Dec 03 2018",54.17
"Dec 04 2018",51.51
"Dec 06 2018",51.86
"Dec 07 2018",51.13
"Dec 10 2018",51.11
"Dec 11 2018",51.15
"Dec 12 2018",52.62
"Dec 13 2018",52.2
"Dec 14 2018",51.29
"Dec 17 2018",50.5
"Dec 18 2018",49.39
"Dec 19 2018",48.76
"Dec 20 2018",48.27
"Dec 21 2018",46.73
"Dec 24 2018",45.88
"Dec 26 2018",47.62
"Dec 27 2018",48.53
"Dec 28 2018",48.14
"Dec 31 2018",48.28
