<DATETIME>,<LAST>
20180103 100045,130.900000000
20180103 100046,130.660000000
20180103 100046,130.940000000
20180103 100046,130.940000000
20180103 100047,130.930000000
20180103 100049,130.820000000
20180103 100051,130.910000000
20180103 100054,130.670000000
20180103 100055,130.900000000
20180103 100055,130.930000000
20180103 100055,130.940000000
20180103 100055,130.950000000
20180103 100055,130.910000000
20180103 100057,130.720000000
20180103 100057,130.710000000
20180103 100057,130.700000000
20180103 100057,130.680000000
20180103 100105,130.730000000
20180103 100105,130.720000000
20180103 100105,130.700000000
20180103 100105,130.670000000
20180103 100106,130.810000000
20180103 100106,130.830000000
20180103 100106,130.830000000
20180103 100106,130.850000000
20180103 100106,130.850000000
20180103 100106,130.710000000
20180103 100106,130.710000000
20180103 100106,130.710000000
20180103 100106,130.710000000
20180103 100106,130.700000000
20180103 100106,130.700000000
20180103 100106,130.700000000
20180103 100106,130.700000000
20180103 100106,130.700000000
20180103 100106,130.710000000
20180103 100106,130.710000000
20180103 100111,130.690000000
20180103 100111,130.690000000
20180103 100113,130.800000000
20180103 100114,130.700000000
20180103 100115,130.800000000
20180103 100115,130.800000000
20180103 100115,130.800000000
20180103 100115,130.800000000
20180103 100118,130.800000000
20180103 100118,130.800000000
20180103 100122,130.800000000
20180103 100122,130.800000000
20180103 100122,130.800000000
20180103 100122,130.810000000
20180103 100123,130.740000000
20180103 100124,130.870000000
20180103 100124,130.880000000
20180103 100124,130.880000000
20180103 100124,130.880000000
20180103 100127,130.810000000
20180103 100127,130.810000000
20180103 100131,130.860000000
20180103 100131,130.860000000
20180103 100131,130.870000000
20180103 100134,130.800000000
20180103 100134,130.800000000
20180103 100143,130.720000000
20180103 100152,130.730000000
20180103 100152,130.730000000
20180103 100155,130.690000000
20180103 100155,130.670000000
20180103 100201,130.670000000
20180103 100201,130.670000000
20180103 100201,130.670000000
20180103 100202,130.670000000
20180103 100207,130.730000000
20180103 100220,130.720000000
20180103 100220,130.710000000
20180103 100220,130.710000000
20180103 100220,130.710000000
20180103 100220,130.710000000
20180103 100220,130.710000000
20180103 100231,130.720000000
20180103 100231,130.720000000
20180103 100231,130.710000000
20180103 100231,130.710000000
20180103 100233,130.780000000
20180103 100234,130.780000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100236,130.790000000
20180103 100238,130.720000000
20180103 100238,130.720000000
20180103 100238,130.820000000
20180103 100238,130.830000000
20180103 100240,130.760000000
20180103 100240,130.760000000
20180103 100244,130.840000000
20180103 100244,130.840000000
20180103 100244,130.850000000
20180103 100244,130.850000000
20180103 100244,130.850000000
20180103 100244,130.850000000
20180103 100244,130.850000000
20180103 100244,130.870000000
20180103 100244,130.870000000
20180103 100256,130.850000000
20180103 100256,130.860000000
20180103 100256,130.870000000
20180103 100256,130.860000000
20180103 100308,130.840000000
20180103 100315,130.830000000
20180103 100315,130.820000000
20180103 100320,130.810000000
20180103 100323,130.910000000
20180103 100328,130.950000000
20180103 100334,130.900000000
20180103 100336,130.860000000
20180103 100340,130.800000000
20180103 100344,130.800000000
20180103 100344,130.810000000
