<DATETIME>,<RETURN>
20180103 100240,0.0000001
20180103 100240,0.0800001
20180103 100244,0.0000001
20180103 100244,0.0100001
20180103 100244,0.0000001
20180103 100244,0.0000001
20180103 100244,0.0000001
20180103 100244,0.0000001
20180103 100244,0.0200001
20180103 100244,0.0000001
20180103 100244,-0.0199999
20180103 100256,0.0100001
20180103 100256,0.0100001
20180103 100256,-0.0099999
20180103 100256,-0.0199999
20180103 100308,-0.0099999
20180103 100315,-0.0099999
20180103 100315,-0.0099999
20180103 100320,0.1000001
20180103 100323,0.0400001
20180103 100328,-0.0499999
20180103 100334,-0.0399999
20180103 100336,-0.0599999
20180103 100340,0.0000001
20180103 100344,0.0100001
20180103 100344,-0.0599999
20180103 100405,0.0000001
20180103 100405,0.0000001
20180103 100405,0.0600001
20180103 100407,0.0000001
20180103 100407,-0.0199999
20180103 100409,0.0100001
20180103 100411,0.0000001
20180103 100412,0.0400001
20180103 100418,-0.0499999
20180103 100425,0.0100001
20180103 100425,0.0000001
20180103 100425,0.0000001
20180103 100425,0.0000001
20180103 100425,0.0000001
20180103 100425,0.0000001
20180103 100425,0.0600001
20180103 100446,0.0700001
20180103 100451,0.0100001
20180103 100451,-0.0099999
20180103 100452,0.0100001
20180103 100452,0.0000001
20180103 100452,-0.0399999
20180103 100452,0.0400001
20180103 100452,0.0100001
20180103 100452,0.0100001
20180103 100452,0.0000001
20180103 100452,0.0100001
20180103 100452,0.0000001
20180103 100452,0.0000001
20180103 100452,0.0000001
20180103 100452,0.0000001
20180103 100452,0.0000001
20180103 100452,-0.0499999
20180103 100454,0.0000001
20180103 100454,0.0500001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0100001
20180103 100457,0.0000001
20180103 100457,0.0100001
20180103 100457,0.0100001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0000001
20180103 100457,0.0100001
20180103 100457,0.0000001
20180103 100457,-0.0099999
20180103 100457,0.0000001
20180103 100457,0.0600001
20180103 100459,0.0000001
20180103 100459,0.0000001
20180103 100500,0.0000001
20180103 100500,0.0000001
20180103 100500,0.0000001
20180103 100500,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0100001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0000001
20180103 100501,0.0100001
20180103 100501,0.0100001
20180103 100501,0.0000001
20180103 100501,-0.0099999
20180103 100504,0.0000001
20180103 100504,0.0000001
20180103 100504,0.0000001
20180103 100504,0.0100001
20180103 100504,0.0000001
20180103 100504,0.0100001
20180103 100504,0.0000001
20180103 100504,-0.0299999
20180103 100508,-0.0699999
20180103 100513,0.0000001
20180103 100518,0.0000001
20180103 100518,0.0000001
20180103 100518,0.0000001
20180103 100518,0.0000001
20180103 100518,0.0000001
20180103 100519,0.0000001
20180103 100520,0.0100001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,-0.0099999
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,0.0000001
20180103 100524,-0.0899999
20180103 100524,-0.0099999
20180103 100524,0.0000001
20180103 100534,-0.0799999
20180103 100538,0.0000001
20180103 100538,-0.0099999
20180103 100538,-0.0099999
20180103 100538,0.0000001
20180103 100538,0.0000001
20180103 100538,0.0000001
20180103 100538,-0.0499999
20180103 100538,0.0000001
20180103 100538,0.0100001
20180103 100538,0.0200001
20180103 100539,-0.0199999
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0000001
20180103 100540,0.0500001
20180103 100540,-0.0799999
20180103 100549,-0.0099999
20180103 100549,-0.0199999
20180103 100549,0.0000001
20180103 100549,0.0000001
20180103 100549,0.0000001
20180103 100549,0.0000001
20180103 100549,0.0000001
20180103 100549,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,-0.0199999
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,-0.0099999
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,-0.0099999
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0000001
20180103 100550,0.0700001
20180103 100554,-0.0599999
20180103 100555,0.0300001
20180103 100555,-0.0399999
20180103 100558,0.0000001
20180103 100558,0.0000001
20180103 100601,0.0000001
20180103 100601,0.0200001
20180103 100602,-0.0199999
20180103 100602,0.0000001
20180103 100604,0.0000001
20180103 100604,0.0000001
20180103 100604,0.0000001
20180103 100604,0.0000001
20180103 100604,0.0200001
20180103 100607,-0.0299999
20180103 100613,0.0000001
20180103 100613,0.0300001
20180103 100613,0.0100001
20180103 100613,0.0100001
20180103 100613,-0.0599999
20180103 100613,0.0000001
20180103 100613,0.0300001
20180103 100617,0.0000001
20180103 100620,0.0000001
20180103 100637,0.0000001
20180103 100637,0.0300001
20180103 100640,0.0100001
20180103 100652,0.0000001
20180103 100652,0.0200001
20180103 100703,0.0000001
20180103 100703,0.0500001
20180103 100704,0.0200001
20180103 100716,0.0000001
20180103 100716,-0.0499999
20180103 100724,0.0000001
20180103 100725,-0.0699999
20180103 100726,0.0000001
20180103 100726,0.0000001
20180103 100726,0.0000001
20180103 100727,0.0100001
20180103 100733,0.0600001
20180103 100734,-0.0699999
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0000001
20180103 100738,0.0300001
20180103 100743,0.0100001
20180103 100743,0.0000001
20180103 100748,0.0000001
20180103 100748,-0.0399999
20180103 100749,-0.0099999
20180103 100803,0.0000001
20180103 100803,-0.0199999
20180103 100803,0.0000001
20180103 100804,-0.0099999
20180103 100804,0.0000001
20180103 100804,-0.0099999
20180103 100804,0.0500001
20180103 100806,0.0200001
20180103 100813,0.0200001
20180103 100813,0.0100001
20180103 100813,-0.0199999
20180103 100842,0.0400001
20180103 100858,0.0000001
20180103 100858,0.0000001
20180103 100858,0.0500001
20180103 100939,0.0200001
20180103 100957,0.0100001
20180103 100957,-0.0299999
20180103 101001,0.0300001
20180103 101002,0.0000001
20180103 101003,-0.0299999
